Train_No,Route_Number,Start_Station,End_Station,Total_Distance,Number_of_Stops,Total_Duration_Minutes
107,1,SWV,MAO,78,4,105.0
108,1,MAO,SWV,83,4,115.0
128,1,MAO,KOP,978,22,1325.0
290,1,DSJ,DSJ,2694,14,9120.0
401,1,AWB,BSB,1618,12,2190.0
421,1,LKO,SVDK,1276,5,1980.0
422,1,SVDK,LKO,1277,5,1605.0
477,1,SSA,SSA,2616,14,3070.0
502,1,RJPB,UMB,1206,9,1380.0
504,1,PNBE,BTI,1313,3,1500.0
506,1,PNBE,PTA,1161,3,1530.0
557,1,URK,PJP,1301,2,690.0
604,1,PNBE,ASR,1429,3,1650.0
1011,1,CSMT,NGP,841,18,840.0
1037,1,LTT,SWV,513,10,560.0
1038,1,SWV,LTT,503,10,615.0
1045,1,LTT,KRMI,563,11,590.0
1119,1,AJNI,KRMI,1329,24,1480.0
1120,1,KRMI,AJNI,1319,24,1470.0
1122,1,KRMI,CSMT,569,14,720.0
1196,1,NGP,KRMI,1332,26,1540.0
1301,1,PUNE,MAJN,976,17,1060.0
1302,1,MAJN,PUNE,973,17,1285.0
1442,1,DSJ,KK,1581,13,2340.0
1655,1,PUNE,JBP,1050,13,1170.0
1656,1,JBP,PUNE,1050,13,1115.0
1705,1,BDTS,JBP,1261,14,1285.0
1706,1,JBP,BDTS,1262,14,1255.0
1707,1,JBP,ATT,1360,17,1590.0
1708,1,ATT,JBP,1362,17,1595.0
2025,1,CSMT,KRMI,579,7,500.0
2026,1,KRMI,CSMT,569,7,510.0
2191,1,JBP,SRC,1123,16,1190.0
2192,1,SRC,JBP,1123,16,1150.0
2195,1,REWA,BPL,551,10,580.0
2196,1,BPL,REWA,549,10,600.0
2515,1,TVC,SCL,3939,58,4615.0
2651,1,PLNI,POY,62,3,85.0
2652,1,POY,PLNI,62,3,85.0
2731,1,HYB,JP,1854,29,2280.0
2732,1,JP,HYB,1853,29,2125.0
2821,1,PUNE,SRC,2066,14,1905.0
2822,1,SRC,PUNE,2073,14,1935.0
2833,1,RJT,SRC,2332,29,2535.0
2834,1,SRC,RJT,2351,29,2440.0
2841,1,SRC,MAS,1656,12,1600.0
2842,1,MAS,SRC,1656,12,1750.0
2845,1,PUNE,HTE,1770,17,1895.0
2846,1,HTE,PUNE,1791,17,1785.0
3101,1,KOAA,PURI,523,9,715.0
3102,1,PURI,KOAA,522,9,700.0
3301,1,ASN,DHN,58,13,85.0
3302,1,DHN,ASN,58,13,85.0
3305,1,DHN,KDS,3,2,20.0
3306,1,KDS,DHN,3,2,20.0
3307,1,SZE,PLJE,4,4,35.0
3308,1,PLJE,SZE,4,4,30.0
3501,1,JSME,ANVT,1193,5,1180.0
3502,1,ANVT,JSME,1193,5,1300.0
4401,1,ANVT,SVDK,710,13,880.0
4402,1,SVDK,ANVT,710,13,855.0
4409,1,DLI,SVDK,653,7,860.0
4410,1,SVDK,DLI,653,7,825.0
4419,1,MAO,NZM,1916,13,1815.0
4420,1,NZM,MAO,1924,13,1685.0
4735,1,BKN,HW,691,17,880.0
4736,1,HW,BKN,691,17,815.0
4767,1,HMH,SGNR,67,10,100.0
4768,1,SGNR,HMH,67,10,110.0
4769,1,HMH,SGNR,67,10,105.0
4770,1,SGNR,HMH,67,10,95.0
4771,1,SDLP,SGNR,232,24,370.0
4772,1,SGNR,SDLP,232,24,375.0
4773,1,SGNR,SOG,125,16,185.0
4774,1,SOG,SGNR,125,10,155.0
4801,1,PBC,MKN,21,3,60.0
4802,1,MKN,PBC,21,3,60.0
4831,1,JU,HW,882,22,1275.0
4832,1,HW,JU,881,22,1140.0
4851,1,MTD,RTGH,197,21,280.0
4852,1,RTGH,MTD,197,21,305.0
4853,1,RTGH,CUR,42,6,75.0
4854,1,CUR,RTGH,42,6,60.0
4921,1,SRE,UMB,81,13,105.0
4922,1,UMB,SRE,81,13,115.0
4991,1,PTK,JAT,99,14,150.0
4992,1,JAT,PTK,99,14,140.0
5061,1,GKP,BNY,112,5,185.0
5062,1,BNY,GKP,112,5,165.0
5065,1,CPR,LJN,503,15,765.0
5066,1,LJN,CPR,505,15,720.0
5105,1,GKP,BST,64,4,110.0
5106,1,BST,GKP,64,4,90.0
5305,1,CPA,FBD,136,11,210.0
5306,1,FBD,CPA,136,11,175.0
5309,1,BC,LKU,81,6,110.0
5310,1,LKU,BC,81,6,115.0
5521,1,JMP,SHC,81,12,225.0
5522,1,SHC,JMP,81,12,170.0
5613,1,JLWC,KOTA,85,11,125.0
5614,1,KOTA,JLWC,85,9,135.0
5619,1,NLP,MZS,153,20,250.0
5620,1,MZS,NLP,153,20,245.0
5631,1,GHY,SCL,380,10,745.0
5632,1,SCL,GHY,379,10,745.0
5715,1,NJP,KNE,87,2,130.0
5716,1,KNE,NJP,87,2,150.0
5719,1,KIR,SGUJ,204,11,240.0
5720,1,SGUJ,KIR,205,11,300.0
5863,1,RNY,RPAN,89,15,185.0
5864,1,RPAN,RNY,88,15,165.0
5865,1,RNY,MZS,426,53,725.0
5866,1,MZS,RNY,425,53,705.0
6001,1,MS,TEN,649,14,760.0
6002,1,TEN,MS,649,15,750.0
6006,1,ERS,MAS,699,14,905.0
6009,1,SRC,PDY,1844,27,1805.0
6010,1,PDY,SRC,1843,27,1995.0
6041,1,MAS,QLN,849,19,1000.0
6042,1,QLN,MAS,851,20,975.0
6043,1,MAS,QLN,849,18,960.0
6044,1,QLN,MAS,852,19,965.0
6046,1,QLN,MAS,852,19,1080.0
6047,1,MAS,QLN,849,19,970.0
6048,1,QLN,MAS,852,20,1020.0
6049,1,MS,QLN,855,19,905.0
6050,1,QLN,MS,857,20,990.0
6053,1,KCVL,MAJN,626,14,635.0
6054,1,MAJN,KCVL,627,14,800.0
6057,1,SRC,MAS,1656,19,1780.0
6058,1,MAS,SRC,1655,19,1665.0
6065,1,CGL,MDU,500,13,805.0
6066,1,MDU,CGL,501,13,635.0
6067,1,CGL,CBE,522,9,595.0
6068,1,CBE,CGL,522,9,715.0
6081,1,CBE,POY,45,4,70.0
6082,1,POY,CBE,45,4,70.0
6412,1,DSJ,PAY,2462,21,3190.0
6512,1,MKM,BAND,77,14,140.0
6513,1,BWT,MKM,17,6,35.0
6541,1,YPR,PVR,881,14,1055.0
6542,1,PVR,YPR,878,14,1005.0
6547,1,YPR,ERS,632,14,705.0
6548,1,ERS,YPR,634,13,825.0
6579,1,YPR,VSKP,1089,21,1200.0
6580,1,VSKP,YPR,1086,21,1160.0
6581,1,YPR,BGM,607,85,796.0
6582,1,BGM,YPR,604,85,796.0
6591,1,YPR,HSRA,62,9,90.0
6592,1,HSRA,YPR,61,9,95.0
6593,1,WFD,BYPL,10,4,25.0
6594,1,BYPL,WFD,10,4,25.0
6595,1,YPR,DHL,33,7,50.0
6596,1,DHL,YPR,33,7,70.0
6647,1,KRBA,BSP,89,8,130.0
6648,1,BSP,KRBA,89,8,150.0
6769,1,PGTN,PLNI,116,11,160.0
6770,1,PLNI,PGTN,116,11,185.0
6851,1,KIK,NCR,10,3,20.0
6852,1,NCR,KIK,10,3,25.0
6853,1,KIK,NCR,10,3,23.0
6854,1,NCR,KIK,10,3,25.0
6919,1,UBL,BJP,247,36,416.0
6920,1,BJP,UBL,248,36,411.0
7005,1,HYB,RXL,2276,34,2640.0
7006,1,RXL,HYB,2297,34,2745.0
7007,1,SC,DBG,2023,27,2385.0
7008,1,DBG,SC,2033,28,2470.0
7016,1,KCG,VSKP,670,18,785.0
7044,1,TPTY,VSKP,735,11,905.0
7061,1,COA,BZA,217,8,270.0
7062,1,VLNK,TPTY,437,14,750.0
7075,1,SC,CCT,554,17,610.0
7076,1,CCT,SC,553,17,710.0
7109,1,HYB,QLN,1589,40,1875.0
7110,1,QLN,HYB,1593,40,1935.0
7113,1,KRMR,QLN,1543,37,1870.0
7133,1,HYB,QLN,1508,39,1900.0
7134,1,QLN,HYB,1511,39,1935.0
7141,1,HYB,QLN,1560,39,1855.0
7142,1,QLN,HYB,1563,39,1815.0
7146,1,TPTY,KCG,763,16,810.0
7149,1,SC,GHY,2563,37,2955.0
7211,1,CCT,QLN,1433,36,1840.0
7212,1,QLN,CCT,1436,36,1680.0
7213,1,BZA,QLN,1221,29,1590.0
7214,1,QLN,BZA,1226,30,1445.0
7217,1,NS,QLN,1360,37,1840.0
7218,1,QLN,NS,1363,37,1695.0
7410,1,TPTY,AWB,1147,29,1455.0
7417,1,TPTY,NSL,1330,33,1705.0
7418,1,NSL,TPTY,1331,33,1800.0
7425,1,KCG,COA,537,15,675.0
7426,1,COA,KCG,537,15,680.0
7429,1,SC,TPTY,742,11,750.0
7430,1,TPTY,SC,744,11,825.0
7431,1,CCT,TPTY,597,13,660.0
7432,1,TPTY,CCT,597,14,660.0
7435,1,CCT,SC,555,14,720.0
7436,1,SC,CCT,554,15,725.0
7438,1,KCG,TATA,1533,28,1845.0
7439,1,TATA,KCG,1533,28,1810.0
7487,1,TPTY,VSKP,735,11,735.0
7505,1,AWB,QLN,1973,49,2445.0
7509,1,ADB,QLN,1886,47,2300.0
7517,1,BIDR,PVR,350,9,555.0
7525,1,SGUJ,NBQ,322,33,555.0
7526,1,NBQ,SGUJ,322,33,600.0
7603,1,KCG,KJM,624,14,720.0
7604,1,KJM,KCG,624,14,930.0
7607,1,NED,TPTY,1014,19,1155.0
7608,1,TPTY,NED,1016,19,1185.0
7613,1,NZB,QLN,1636,38,2100.0
7614,1,QLN,NZB,1641,39,2100.0
7644,1,CCT,TPTY,597,11,695.0
7645,1,RU,CCT,587,10,555.0
7757,1,SC,BZA,314,6,315.0
7758,1,BZA,SC,314,6,320.0
7941,1,CCT,RU,587,12,660.0
7942,1,TPTY,CCT,597,13,630.0
8001,1,KGP,JGM,39,2,35.0
8002,1,JGM,KGP,39,2,45.0
8014,1,MDN,KGP,12,4,40.0
8017,1,KGP,JGM,39,6,50.0
8018,1,JGM,KGP,39,6,55.0
8035,1,KGP,BLS,120,19,175.0
8036,1,BLS,KGP,120,19,180.0
8051,1,KGP,JGM,39,3,29.0
8052,1,JGM,KGP,39,5,45.0
8061,1,SHM,JP,1847,24,2055.0
8062,1,JP,SHM,1838,24,2075.0
8063,1,KGP,BQA,115,17,180.0
8064,1,YPR,HWH,2039,16,1930.0
8065,1,KGP,BQA,115,17,160.0
8082,1,BQA,VSU,30,6,30.0
8087,1,VSU,BQA,30,6,28.0
8101,1,CBSA,CKP,40,5,80.0
8102,1,CKP,CBSA,40,5,55.0
8301,1,SBP,BAND,1567,15,1870.0
8302,1,BAND,SBP,1567,15,1805.0
8403,1,PURI,SRC,495,9,560.0
8404,1,SRC,PURI,497,9,530.0
8501,1,VSKP,SC,700,13,780.0
8502,1,SC,VSKP,698,13,740.0
8511,1,KRDL,VSKP,471,12,720.0
8512,1,VSKP,KRDL,471,12,705.0
8567,1,VSKP,QLN,1571,29,1725.0
8568,1,QLN,VSKP,1578,29,1845.0
8573,1,VSKP,TPTY,760,15,870.0
8574,1,TPTY,VSKP,759,15,920.0
8581,1,BPQ,CAF,11,2,20.0
8582,1,CAF,BPQ,11,2,15.0
8617,1,RNC,ANVT,1365,15,1430.0
8618,1,ANVT,RNC,1356,15,1420.0
8627,1,HWH,RNC,484,13,560.0
8628,1,RNC,HWH,481,14,570.0
8872,1,DURG,G,133,17,165.0
9003,1,BDTS,NZM,1355,5,835.0
9004,1,NZM,BDTS,1358,5,835.0
9005,1,BCT,NDLS,1373,4,955.0
9006,1,NDLS,BCT,1376,4,965.0
9011,1,BDTS,BKN,1209,20,1330.0
9012,1,BKN,BDTS,1211,20,1315.0
9433,1,BDTS,GIMB,780,14,805.0
9434,1,GIMB,BDTS,780,14,820.0
9621,1,AII,BDTS,1281,12,1335.0
9622,1,BDTS,AII,1281,12,1270.0
9721,1,JP,UDZ,429,12,435.0
9722,1,UDZ,JP,429,12,420.0
9761,1,SGNR,SOG,125,13,165.0
9809,1,KOTA,NZM,447,11,430.0
9810,1,NZM,KOTA,450,11,480.0
10103,1,CSMT,MAO,590,20,695.0
10104,1,MAO,CSMT,594,20,745.0
10111,1,CSMT,MAO,590,20,700.0
10112,1,MAO,CSMT,594,20,710.0
10215,1,MAO,ERS,726,13,805.0
10216,1,ERS,MAO,727,13,805.0
11001,1,SNSI,PVR,348,12,435.0
11002,1,PVR,SNSI,348,12,445.0
11003,1,DR,SWV,502,21,635.0
11004,1,SWV,DR,504,21,715.0
11005,1,DR,PDY,1636,39,2025.0
11006,1,PDY,DR,1639,38,1970.0
11007,1,CSMT,PUNE,191,12,245.0
11008,1,PUNE,CSMT,191,11,242.0
11009,1,CSMT,PUNE,191,12,250.0
11010,1,PUNE,CSMT,191,11,230.0
11011,1,LTT,NED,723,16,1000.0
11012,1,NED,LTT,723,16,1035.0
11013,1,LTT,CBE,1515,34,1960.0
11014,1,CBE,LTT,1515,34,1775.0
11015,1,LTT,GKP,1678,47,1940.0
11016,1,GKP,LTT,1677,46,2000.0
11017,1,LTT,KIK,1631,30,1830.0
11018,1,KIK,LTT,1634,30,2025.0
11019,1,CSMT,BBS,1941,39,2225.0
11020,1,BBS,CSMT,1941,40,2190.0
11021,1,DR,TEN,1843,40,2295.0
11022,1,TEN,DR,1845,39,2320.0
11023,1,CSMT,KOP,517,28,735.0
11024,1,KOP,CSMT,517,31,780.0
11025,1,BSL,PUNE,545,19,700.0
11026,1,PUNE,BSL,545,19,605.0
11027,1,CSMT,MAS,1281,52,1665.0
11028,1,MAS,CSMT,1283,52,1670.0
11029,1,CSMT,KOP,517,35,705.0
11030,1,KOP,CSMT,517,34,730.0
11031,1,SUR,BJP,108,5,130.0
11032,1,BJP,SUR,108,5,170.0
11033,1,PUNE,DBG,1955,30,2310.0
11034,1,DBG,PUNE,1953,30,2360.0
11035,1,DR,MYS,1210,27,1450.0
11036,1,MYS,DR,1213,26,1405.0
11037,1,PUNE,GKP,1777,17,1970.0
11038,1,GKP,PUNE,1777,17,2195.0
11039,1,KOP,G,1352,62,1725.0
11040,1,G,KOP,1353,60,1705.0
11041,1,CSMT,MAS,1281,36,1590.0
11042,1,MAS,CSMT,1283,34,1515.0
11043,1,LTT,MDU,1696,27,2035.0
11044,1,MDU,LTT,1700,26,2145.0
11045,1,KOP,DHN,2894,39,3615.0
11046,1,DHN,KOP,2892,39,3705.0
11047,1,MRJ,UBL,278,12,375.0
11048,1,UBL,MRJ,279,12,345.0
11049,1,ADI,KOP,949,18,1200.0
11050,1,KOP,ADI,949,18,1135.0
11051,1,SUR,KOP,314,9,405.0
11052,1,KOP,SUR,314,9,455.0
11053,1,LTT,AMH,1552,17,2010.0
11054,1,AMH,LTT,1551,17,1855.0
11055,1,LTT,GKP,1732,23,2005.0
11056,1,GKP,LTT,1732,23,2035.0
11057,1,CSMT,ASR,2026,90,2460.0
11058,1,ASR,CSMT,2029,91,2615.0
11059,1,LTT,CPR,1772,24,2050.0
11060,1,CPR,LTT,1770,24,2100.0
11061,1,LTT,DBG,1885,41,2215.0
11062,1,DBG,LTT,1883,39,2315.0
11063,1,MS,SA,352,14,380.0
11064,1,SA,MS,352,14,385.0
11067,1,LTT,FD,1510,20,1652.0
11068,1,FD,LTT,1509,20,1795.0
11071,1,LTT,BSB,1645,43,1845.0
11072,1,BSB,LTT,1647,41,1860.0
11073,1,LTT,MAS,1265,18,1415.0
11074,1,MAS,LTT,1267,17,1485.0
11075,1,LTT,BIDR,651,13,805.0
11076,1,BIDR,LTT,651,13,935.0
11077,1,PUNE,JAT,2155,67,2445.0
11078,1,JAT,PUNE,2157,65,2485.0
11079,1,LTT,GKP,1745,25,2020.0
11080,1,GKP,LTT,1745,24,2070.0
11081,1,LTT,GKP,1731,20,2055.0
11082,1,GKP,LTT,1731,19,2035.0
11083,1,LTT,KZJ,1153,29,1650.0
11084,1,KZJ,LTT,1153,28,1770.0
11085,1,LTT,MAO,574,11,717.0
11086,1,MAO,LTT,578,11,670.0
11087,1,VRL,PUNE,1053,26,1215.0
11088,1,PUNE,VRL,1053,25,1255.0
11089,1,BGKT,PUNE,1074,26,1390.0
11090,1,PUNE,BGKT,1072,26,1280.0
11091,1,BHUJ,PUNE,981,24,1185.0
11092,1,PUNE,BHUJ,981,24,1170.0
11093,1,CSMT,BSB,1516,27,1710.0
11094,1,BSB,CSMT,1515,26,1615.0
11095,1,ADI,PUNE,623,17,745.0
11096,1,PUNE,ADI,622,16,715.0
11097,1,PUNE,ERS,1278,33,1960.0
11098,1,ERS,PUNE,1279,32,1775.0
11101,1,PUNE,GWL,1373,23,1605.0
11102,1,GWL,PUNE,1373,23,1745.0
11103,1,JHS,BDTS,1321,21,1435.0
11104,1,BDTS,JHS,1321,21,1530.0
11107,1,GWL,BSB,629,31,850.0
11108,1,BSB,GWL,629,37,920.0
11109,1,JHS,LJN,291,11,355.0
11110,1,LJN,JHS,291,11,355.0
11111,1,GWL,BLP,939,12,1195.0
11112,1,BLP,GWL,941,12,1095.0
11123,1,BJU,GWL,1051,49,1570.0
11124,1,GWL,BJU,1054,49,1510.0
11125,1,INDB,GWL,561,11,702.0
11126,1,GWL,INDB,561,11,745.0
11201,1,LTT,AJNI,1015,26,1295.0
11202,1,AJNI,LTT,1015,26,1290.0
11203,1,NGP,JP,1340,28,1570.0
11204,1,JP,NGP,1340,28,1605.0
11205,1,LTT,NZB,699,20,995.0
11206,1,NZB,LTT,699,20,870.0
11265,1,JBP,ABKP,432,14,540.0
11266,1,ABKP,JBP,434,14,520.0
11272,1,BPL,ET,737,47,1075.0
11301,1,CSMT,SBC,1154,35,1480.0
11302,1,SBC,CSMT,1154,34,1410.0
11303,1,HYB,KOP,989,38,1410.0
11304,1,KOP,HYB,987,38,1390.0
11307,1,GR,HYB,221,7,275.0
11308,1,HYB,GR,223,7,300.0
11309,1,SUR,MRJ,267,14,365.0
11310,1,MRJ,SUR,267,14,330.0
11401,1,CSMT,NGP,1053,34,1420.0
11402,1,NGP,CSMT,1052,34,1415.0
11403,1,NGP,KOP,1026,22,1380.0
11404,1,KOP,NGP,1026,22,1425.0
11405,1,PUNE,AMI,811,18,1020.0
11406,1,AMI,PUNE,812,18,1125.0
11407,1,PUNE,LJN,1478,17,1710.0
11408,1,LJN,PUNE,1478,17,1715.0
11423,1,SUR,UBL,357,14,485.0
11424,1,UBL,SUR,356,14,495.0
11447,1,JBP,HWH,1156,45,1705.0
11448,1,HWH,JBP,1155,46,1515.0
11449,1,JBP,SVDK,1561,34,1970.0
11450,1,SVDK,JBP,1564,31,2010.0
11463,1,SMNH,JBP,1416,50,1780.0
11464,1,JBP,SMNH,1417,50,1785.0
11465,1,SMNH,JBP,1572,49,1950.0
11466,1,JBP,SMNH,1575,50,1905.0
11651,1,JBP,SGRL,344,14,415.0
11652,1,SGRL,JBP,345,14,420.0
11701,1,JBP,INDB,751,16,890.0
11702,1,INDB,JBP,751,16,925.0
11703,1,REWA,DADN,823,20,1015.0
11704,1,DADN,REWA,821,20,965.0
11801,1,JHS,ETW,215,6,305.0
11802,1,ETW,JHS,215,6,295.0
11901,1,MTJ,KKDE,292,13,430.0
11902,1,KKDE,MTJ,294,13,400.0
12001,1,HBJ,NDLS,688,10,510.0
12002,1,NDLS,HBJ,690,10,505.0
12003,1,LJN,NDLS,504,7,400.0
12004,1,NDLS,LJN,504,7,390.0
12005,1,NDLS,KLK,268,5,245.0
12006,1,KLK,NDLS,268,5,245.0
12007,1,MAS,MYS,498,4,420.0
12008,1,MYS,MAS,499,4,430.0
12009,1,BCT,ADI,490,9,380.0
12010,1,ADI,BCT,490,9,400.0
12011,1,NDLS,KLK,268,6,245.0
12012,1,KLK,NDLS,268,6,250.0
12013,1,NDLS,ASR,447,8,360.0
12014,1,ASR,NDLS,447,8,360.0
12015,1,NDLS,AII,442,10,400.0
12016,1,AII,NDLS,442,10,415.0
12017,1,NDLS,DDN,314,8,355.0
12018,1,DDN,NDLS,314,8,345.0
12019,1,HWH,RNC,436,10,430.0
12020,1,RNC,HWH,434,10,465.0
12021,1,HWH,BBN,402,10,405.0
12022,1,BBN,HWH,401,11,425.0
12023,1,HWH,PNBE,530,14,520.0
12024,1,PNBE,HWH,531,14,470.0
12025,1,PUNE,SC,598,8,510.0
12026,1,SC,PUNE,598,8,505.0
12027,1,MAS,SBC,360,4,300.0
12028,1,SBC,MAS,361,4,300.0
12029,1,NDLS,ASR,447,8,385.0
12030,1,ASR,NDLS,447,8,375.0
12031,1,NDLS,ASR,447,8,385.0
12032,1,ASR,NDLS,447,8,375.0
12033,1,CNB,NDLS,430,5,320.0
12034,1,NDLS,CNB,430,4,295.0
12035,1,JP,AF,240,4,210.0
12036,1,AF,JP,240,4,220.0
12037,1,NDLS,LDH,328,7,325.0
12038,1,LDH,NDLS,328,7,330.0
12039,1,KGM,NDLS,283,8,330.0
12040,1,NDLS,KGM,283,8,340.0
12041,1,HWH,NJP,560,7,495.0
12042,1,NJP,HWH,560,7,485.0
12043,1,NDLS,MOGA,397,8,425.0
12044,1,MOGA,NDLS,397,8,430.0
12045,1,NDLS,CDG,243,4,210.0
12046,1,CDG,NDLS,243,4,205.0
12047,1,NDLS,FZR,385,10,390.0
12048,1,FZR,NDLS,385,10,440.0
12049,1,AGC,NZM,181,2,100.0
12050,1,NZM,AGC,183,2,100.0
12051,1,DR,MAO,581,9,520.0
12052,1,MAO,DR,585,9,515.0
12053,1,HW,ASR,406,11,440.0
12054,1,ASR,HW,406,11,440.0
12055,1,NDLS,DDN,304,9,350.0
12056,1,DDN,NDLS,304,10,370.0
12057,1,NDLS,UHL,386,14,455.0
12058,1,UHL,NDLS,386,14,420.0
12059,1,KOTA,NZM,447,10,395.0
12060,1,NZM,KOTA,450,10,405.0
12061,1,HBJ,JBP,330,10,315.0
12062,1,JBP,HBJ,330,10,330.0
12065,1,AII,NZM,389,10,410.0
12066,1,NZM,AII,389,10,415.0
12067,1,GHY,JTTN,376,11,410.0
12068,1,JTTN,GHY,375,11,410.0
12069,1,RIG,G,419,15,420.0
12070,1,G,RIG,411,15,420.0
12071,1,DR,J,422,7,450.0
12072,1,J,DR,422,7,465.0
12073,1,HWH,BBS,442,9,415.0
12074,1,BBS,HWH,441,9,400.0
12075,1,CLT,TVC,399,12,445.0
12076,1,TVC,CLT,398,12,420.0
12077,1,MAS,BZA,453,10,430.0
12078,1,BZA,MAS,453,10,435.0
12079,1,SBC,UBL,470,11,445.0
12080,1,UBL,SBC,468,11,445.0
12081,1,CAN,TVC,500,15,550.0
12082,1,TVC,CAN,499,15,550.0
12083,1,MV,CBE,361,10,385.0
12084,1,CBE,MV,361,10,390.0
12085,1,GHY,DBRG,506,10,545.0
12086,1,DBRG,GHY,505,10,535.0
12087,1,NHLN,GHY,332,8,360.0
12088,1,GHY,NHLN,332,8,380.0
12101,1,LTT,HWH,1956,16,1860.0
12102,1,HWH,LTT,1963,17,1860.0
12103,1,PUNE,LJN,1478,13,1495.0
12104,1,LJN,PUNE,1478,13,1535.0
12105,1,CSMT,G,971,26,970.0
12106,1,G,CSMT,972,27,970.0
12107,1,LTT,LJN,1408,11,1365.0
12108,1,LJN,LTT,1408,11,1455.0
12109,1,CSMT,MMR,260,10,275.0
12110,1,MMR,CSMT,260,10,283.0
12111,1,CSMT,AMI,676,14,730.0
12112,1,AMI,CSMT,676,14,680.0
12113,1,PUNE,NGP,895,9,945.0
12114,1,NGP,PUNE,895,9,910.0
12115,1,CSMT,SUR,456,14,485.0
12116,1,SUR,CSMT,457,15,485.0
12117,1,LTT,MMR,244,10,265.0
12118,1,MMR,LTT,244,10,265.0
12119,1,AMI,AJNI,180,5,165.0
12120,1,AJNI,AMI,180,5,190.0
12121,1,JBP,NZM,883,7,835.0
12122,1,NZM,JBP,886,7,860.0
12123,1,CSMT,PUNE,191,5,195.0
12124,1,PUNE,CSMT,191,4,190.0
12125,1,CSMT,PUNE,190,8,205.0
12126,1,PUNE,CSMT,190,7,205.0
12127,1,CSMT,PUNE,191,6,197.0
12128,1,PUNE,CSMT,191,5,190.0
12129,1,PUNE,HWH,2026,30,2025.0
12130,1,HWH,PUNE,2033,30,1980.0
12131,1,DR,SNSI,330,8,360.0
12132,1,SNSI,DR,330,8,365.0
12133,1,CSMT,MAJN,903,14,878.0
12134,1,MAJN,CSMT,909,14,870.0
12135,1,PUNE,NGP,895,18,945.0
12136,1,NGP,PUNE,895,18,910.0
12137,1,CSMT,FZR,1910,56,2055.0
12138,1,FZR,CSMT,1913,54,2035.0
12139,1,CSMT,NGP,841,33,910.0
12140,1,NGP,CSMT,841,33,900.0
12141,1,LTT,PPTA,1693,14,1705.0
12142,1,PPTA,LTT,1692,13,1690.0
12143,1,LTT,SLN,1540,14,1640.0
12144,1,SLN,LTT,1541,14,1695.0
12145,1,LTT,PURI,1888,27,2095.0
12146,1,PURI,LTT,1895,27,2045.0
12147,1,KOP,NZM,1897,22,1925.0
12148,1,NZM,KOP,1900,22,2070.0
12149,1,PUNE,DNR,1757,19,1835.0
12150,1,DNR,PUNE,1756,19,1835.0
12151,1,LTT,HWH,2089,24,2150.0
12152,1,HWH,LTT,2095,23,2055.0
12153,1,LTT,HBJ,820,10,775.0
12154,1,HBJ,LTT,820,10,790.0
12155,1,HBJ,NZM,681,10,655.0
12156,1,NZM,HBJ,683,10,610.0
12157,1,PUNE,SUR,265,4,240.0
12158,1,SUR,PUNE,265,4,240.0
12159,1,AMI,JBP,725,20,790.0
12160,1,JBP,AMI,725,20,780.0
12161,1,LTT,AGC,1320,21,1235.0
12162,1,AGC,LTT,1320,21,1405.0
12163,1,DR,MS,1278,24,1395.0
12164,1,MS,DR,1281,22,1390.0
12165,1,LTT,BSB,1488,16,1542.0
12166,1,BSB,LTT,1487,16,1510.0
12167,1,LTT,BSB,1500,13,1630.0
12168,1,BSB,LTT,1500,13,1560.0
12169,1,PUNE,SUR,265,5,240.0
12170,1,SUR,PUNE,265,5,245.0
12171,1,LTT,HW,1756,12,1760.0
12172,1,HW,LTT,1759,12,1740.0
12173,1,LTT,PBH,1581,13,1600.0
12174,1,PBH,LTT,1581,13,1690.0
12175,1,HWH,GWL,1291,31,1410.0
12176,1,GWL,HWH,1292,31,1410.0
12177,1,HWH,MTJ,1451,34,1595.0
12178,1,MTJ,HWH,1453,34,1580.0
12179,1,LJN,AGC,323,14,360.0
12180,1,AGC,LJN,323,14,355.0
12181,1,JBP,AII,1024,22,1075.0
12182,1,AII,JBP,1024,22,1035.0
12183,1,BPL,PBH,754,11,820.0
12184,1,PBH,BPL,754,11,820.0
12185,1,HBJ,REWA,555,15,600.0
12186,1,REWA,HBJ,557,15,600.0
12187,1,JBP,CSMT,996,15,1005.0
12188,1,CSMT,JBP,996,15,990.0
12189,1,JBP,NZM,937,29,1050.0
12190,1,NZM,JBP,938,28,1050.0
12191,1,NDLS,JBP,1021,24,1030.0
12192,1,JBP,NDLS,1019,24,1100.0
12193,1,YPR,JBP,1747,20,1825.0
12194,1,JBP,YPR,1734,20,1845.0
12195,1,AF,AII,375,14,405.0
12196,1,AII,AF,375,14,400.0
12197,1,BPL,GWL,484,11,525.0
12198,1,GWL,BPL,484,11,520.0
12201,1,LTT,KCVL,1513,25,1650.0
12202,1,KCVL,LTT,1517,25,1620.0
12203,1,SHC,ASR,1711,23,1810.0
12204,1,ASR,SHC,1714,23,1800.0
12205,1,NDLS,DDN,304,7,350.0
12206,1,DDN,NDLS,304,7,345.0
12207,1,KGM,JAT,768,16,915.0
12208,1,JAT,KGM,768,16,925.0
12209,1,CNB,KGM,415,12,515.0
12210,1,KGM,CNB,415,12,565.0
12211,1,MFP,ANVT,1057,14,1280.0
12212,1,ANVT,MFP,1059,14,1270.0
12213,1,YPR,DEE,2350,7,1880.0
12214,1,DEE,YPR,2351,6,1975.0
12215,1,DEE,BDTS,1431,18,1370.0
