Train_No,Route_Number,Start_Station,End_Station,Total_Distance,Number_of_Stops,Total_Duration_Minutes
97021,1,CSMT,KYN,53,24,88.0
97022,1,KYN,CSMT,53,24,89.0
97023,1,DR,KYN,44,17,68.0
97024,1,KYN,CSMT,53,24,89.0
97025,1,CSMT,KYN,53,24,86.0
97026,1,KYN,DR,44,17,69.0
97027,1,CSMT,KYN,53,24,87.0
97028,1,KYN,DR,44,17,70.0
97029,1,CSMT,KYN,53,23,87.0
97030,1,KYN,CSMT,53,24,90.0
97031,1,CSMT,KYN,53,24,90.0
97032,1,KYN,CSMT,53,24,91.0
97033,1,TNA,KYN,20,8,32.0
97034,1,KYN,CSMT,53,24,89.0
97035,1,DR,KYN,44,17,71.0
97036,1,KYN,CSMT,53,24,88.0
97037,1,CSMT,KYN,53,24,89.0
97038,1,KYN,CSMT,53,24,88.0
97039,1,CSMT,KYN,53,24,87.0
97040,1,KYN,CSMT,53,24,88.0
97041,1,CSMT,KYN,53,24,88.0
97042,1,KYN,CLA,37,15,59.0
97043,1,DR,KYN,44,17,72.0
97044,1,KYN,CSMT,53,24,88.0
97045,1,DR,KYN,44,17,72.0
97046,1,KYN,TNA,20,8,31.0
97047,1,CSMT,KYN,53,24,89.0
97048,1,KYN,CSMT,53,24,90.0
97049,1,CSMT,KYN,53,24,87.0
97050,1,KYN,DR,44,17,72.0
97051,1,CLA,KYN,37,15,62.0
97052,1,KYN,CSMT,53,24,90.0
97053,1,CSMT,KYN,53,24,87.0
97054,1,KYN,CSMT,53,24,89.0
97055,1,CSMT,KYN,53,24,87.0
97056,1,KYN,TNA,20,8,31.0
97057,1,CSMT,KYN,53,24,89.0
97058,1,KYN,CSMT,53,24,88.0
97059,1,CSMT,KYN,53,24,87.0
97060,1,KYN,CSMT,53,24,88.0
97061,1,CSMT,KYN,53,24,87.0
97062,1,KYN,CSMT,53,24,89.0
97063,1,DR,KYN,44,17,69.0
97064,1,KYN,CLA,37,15,58.0
97065,1,CSMT,KYN,53,24,91.0
97066,1,KYN,CSMT,53,24,88.0
97067,1,CSMT,KYN,53,24,92.0
97068,1,KYN,CSMT,53,24,88.0
97069,1,CSMT,KYN,53,24,87.0
97070,1,KYN,CSMT,53,24,89.0
97071,1,CSMT,KYN,53,24,87.0
97072,1,KYN,DR,44,17,69.0
97073,1,TNA,KYN,20,8,32.0
97074,1,KYN,CSMT,53,24,91.0
97075,1,CSMT,KYN,53,24,87.0
97076,1,KYN,CSMT,53,24,89.0
97077,1,CLA,KYN,37,15,59.0
97078,1,KYN,CSMT,53,24,88.0
97079,1,CSMT,KYN,53,24,87.0
97080,1,KYN,CSMT,53,24,89.0
97081,1,CSMT,KYN,53,24,88.0
97082,1,KYN,CSMT,53,24,88.0
97083,1,CSMT,KYN,53,24,87.0
97084,1,KYN,CSMT,53,24,87.0
97085,1,CSMT,KYN,53,24,87.0
97086,1,KYN,TNA,20,8,31.0
97087,1,DR,KYN,44,17,70.0
97088,1,KYN,CSMT,53,24,92.0
97089,1,CSMT,KYN,53,24,87.0
97090,1,KYN,CSMT,53,24,89.0
97091,1,CSMT,KYN,53,24,89.0
97092,1,KYN,DR,44,17,69.0
97093,1,CSMT,KYN,53,24,87.0
97094,1,KYN,TNA,20,8,91.0
97095,1,CSMT,KYN,53,24,89.0
97096,1,KYN,CSMT,53,24,86.0
97097,1,CLA,KYN,37,15,60.0
97098,1,KYN,DR,44,17,68.0
97099,1,VVH,KYN,35,14,59.0
97100,1,KYN,CSMT,53,24,88.0
97101,1,CSMT,KYN,53,24,90.0
97102,1,KYN,CSMT,53,24,89.0
97103,1,CSMT,KYN,53,24,90.0
97104,1,KYN,CSMT,53,24,90.0
97105,1,CSMT,KYN,53,24,89.0
97106,1,KYN,CSMT,53,24,88.0
97107,1,DR,KYN,44,17,69.0
